Invoice_id,Branch,City,Category,Unit_price,Quantity,Date,Time,Payment_method,Rating,Profit_margin,Total_sales,Profit,Day,Month,Year
1,WALM003,San Antonio,Health and beauty,74.69,7.0,2019-05-01,13:08:00,Ewallet,9.1,0.48,522.8299999999999,250.95839999999995,1,5,2019
2,WALM048,Harlingen,Electronic accessories,15.28,5.0,2019-08-03,10:29:00,Cash,9.6,0.48,76.39999999999999,36.672,3,8,2019
3,WALM067,Haltom City,Home and lifestyle,46.33,7.0,2019-03-03,13:23:00,Credit card,7.4,0.33,324.31,107.0223,3,3,2019
4,WALM064,Bedford,Health and beauty,58.22,8.0,2019-01-27,20:33:00,Ewallet,8.4,0.33,465.76,153.70080000000002,27,1,2019
5,WALM013,Irving,Sports and travel,86.31,7.0,2019-08-02,10:37:00,Ewallet,5.3,0.48,604.1700000000001,290.0016,2,8,2019
6,WALM026,Denton,Electronic accessories,85.39,7.0,2019-03-25,18:30:00,Ewallet,4.1,0.48,597.73,286.9104,25,3,2019
7,WALM088,Cleburne,Electronic accessories,68.84,6.0,2019-02-25,14:36:00,Ewallet,5.8,0.33,413.04,136.3032,25,2,2019
8,WALM100,Canyon,Home and lifestyle,73.56,10.0,2019-02-24,11:38:00,Ewallet,8.0,0.18,735.6,132.408,24,2,2019
9,WALM066,Grapevine,Health and beauty,36.26,2.0,2019-10-01,17:15:00,Credit card,7.2,0.33,72.52,23.9316,1,10,2019
10,WALM065,Texas City,Food and beverages,54.84,3.0,2019-02-20,13:27:00,Credit card,5.9,0.33,164.52,54.2916,20,2,2019
11,WALM013,Irving,Fashion accessories,14.48,4.0,2019-06-02,18:07:00,Ewallet,4.5,0.48,57.92,27.8016,2,6,2019
12,WALM035,San Angelo,Electronic accessories,25.51,4.0,2019-09-03,17:03:00,Cash,6.8,0.48,102.04,48.9792,3,9,2019
13,WALM027,Abilene,Electronic accessories,46.95,5.0,2019-12-02,10:25:00,Ewallet,7.1,0.48,234.75,112.67999999999999,2,12,2019
14,WALM035,San Angelo,Food and beverages,43.19,10.0,2019-07-02,16:48:00,Ewallet,8.2,0.48,431.9,207.31199999999998,2,7,2019
15,WALM031,Lewisville,Health and beauty,71.38,10.0,2019-03-29,19:21:00,Cash,5.7,0.48,713.8,342.62399999999997,29,3,2019
16,WALM008,Corpus Christi,Sports and travel,93.72,6.0,2019-01-15,16:19:00,Cash,4.5,0.48,562.3199999999999,269.9136,15,1,2019
17,WALM029,Round Rock,Health and beauty,68.93,7.0,2019-11-03,11:03:00,Credit card,4.6,0.48,482.51000000000005,231.6048,3,11,2019
18,WALM061,Cedar Park,Sports and travel,72.61,6.0,2019-01-01,10:39:00,Credit card,6.9,0.33,435.65999999999997,143.7678,1,1,2019
19,WALM053,Conroe,Food and beverages,54.67,3.0,2019-01-21,18:00:00,Credit card,8.6,0.57,164.01,93.48569999999998,21,1,2019
